Bx By Bz 
2.2542000000e-01 0.0000000000e+00 0.0000000000e+00 2.4785998818e+00 
2.2620000000e-01 0.0000000000e+00 0.0000000000e+00 2.4156645727e+00 
2.2698000000e-01 0.0000000000e+00 0.0000000000e+00 2.3515602422e+00 
2.2776000000e-01 0.0000000000e+00 0.0000000000e+00 2.2862469686e+00 
2.2854000000e-01 0.0000000000e+00 0.0000000000e+00 2.2196459949e+00 
2.2932000000e-01 0.0000000000e+00 0.0000000000e+00 2.1520024938e+00 
2.3010000000e-01 0.0000000000e+00 0.0000000000e+00 2.0835173275e+00 
2.3088000000e-01 0.0000000000e+00 0.0000000000e+00 2.0140434181e+00 
2.3166000000e-01 0.0000000000e+00 0.0000000000e+00 1.9437111069e+00 
2.3244000000e-01 0.0000000000e+00 0.0000000000e+00 1.8727751031e+00 
2.3322000000e-01 0.0000000000e+00 0.0000000000e+00 1.8013861252e+00 
2.3400000000e-01 0.0000000000e+00 0.0000000000e+00 1.7297245646e+00 
2.3478000000e-01 0.0000000000e+00 0.0000000000e+00 1.6578525157e+00 
2.3556000000e-01 0.0000000000e+00 0.0000000000e+00 1.5859871724e+00 
2.3634000000e-01 0.0000000000e+00 0.0000000000e+00 1.5142734765e+00 
2.3712000000e-01 0.0000000000e+00 0.0000000000e+00 1.4428523514e+00 
2.3790000000e-01 0.0000000000e+00 0.0000000000e+00 1.3719797425e+00 
2.3868000000e-01 0.0000000000e+00 0.0000000000e+00 1.3019724161e+00 
2.3946000000e-01 0.0000000000e+00 0.0000000000e+00 1.2327035142e+00 
2.4024000000e-01 0.0000000000e+00 0.0000000000e+00 1.1642862696e+00 
2.4102000000e-01 0.0000000000e+00 0.0000000000e+00 1.0968854547e+00 
2.4180000000e-01 0.0000000000e+00 0.0000000000e+00 1.0316440163e+00 
2.4258000000e-01 0.0000000000e+00 0.0000000000e+00 9.6778028868e-01 
2.4336000000e-01 0.0000000000e+00 0.0000000000e+00 9.0548809362e-01 
2.4414000000e-01 0.0000000000e+00 0.0000000000e+00 8.4491678793e-01 
2.4492000000e-01 0.0000000000e+00 0.0000000000e+00 7.8636461894e-01 
2.4570000000e-01 0.0000000000e+00 0.0000000000e+00 7.3006694717e-01 
2.4648000000e-01 0.0000000000e+00 0.0000000000e+00 6.7566604972e-01 
2.4726000000e-01 0.0000000000e+00 0.0000000000e+00 6.2367305026e-01 
2.4804000000e-01 0.0000000000e+00 0.0000000000e+00 5.7459057373e-01 
2.4882000000e-01 0.0000000000e+00 0.0000000000e+00 5.2816513769e-01 
2.4960000000e-01 0.0000000000e+00 0.0000000000e+00 4.8302385811e-01 
2.5038000000e-01 0.0000000000e+00 0.0000000000e+00 4.4086248444e-01 
2.5116000000e-01 0.0000000000e+00 0.0000000000e+00 4.0202779539e-01 
2.5194000000e-01 0.0000000000e+00 0.0000000000e+00 3.6550053183e-01 
2.5272000000e-01 0.0000000000e+00 0.0000000000e+00 3.3106301165e-01 
2.5350000000e-01 0.0000000000e+00 0.0000000000e+00 2.9941930227e-01 
2.5428000000e-01 0.0000000000e+00 0.0000000000e+00 2.6977598174e-01 
2.5506000000e-01 0.0000000000e+00 0.0000000000e+00 2.4145416976e-01 
2.5584000000e-01 0.0000000000e+00 0.0000000000e+00 2.1756097149e-01 
2.5662000000e-01 0.0000000000e+00 0.0000000000e+00 1.9497843833e-01 
2.5740000000e-01 0.0000000000e+00 0.0000000000e+00 1.7394224721e-01 
2.5818000000e-01 0.0000000000e+00 0.0000000000e+00 1.5477265794e-01 
2.5896000000e-01 0.0000000000e+00 0.0000000000e+00 1.3799940625e-01 
2.5974000000e-01 0.0000000000e+00 0.0000000000e+00 1.2304829087e-01 
2.6052000000e-01 0.0000000000e+00 0.0000000000e+00 1.0944095746e-01 
2.6130000000e-01 0.0000000000e+00 0.0000000000e+00 9.7123095973e-02 
2.6208000000e-01 0.0000000000e+00 0.0000000000e+00 8.6028610841e-02 
2.6286000000e-01 0.0000000000e+00 0.0000000000e+00 7.6303078489e-02 
2.6364000000e-01 0.0000000000e+00 0.0000000000e+00 6.7804689972e-02 
2.6442000000e-01 0.0000000000e+00 0.0000000000e+00 6.0156109458e-02 
